id,code,city_id/id,name
state_city.res_state_kecamatan265,res_state_kecamatan265,state_city.res_state_city21,Simeulue Cut
state_city.res_state_kecamatan266,res_state_kecamatan266,state_city.res_state_city21,Teluk Dalam
state_city.res_state_kecamatan267,res_state_kecamatan267,state_city.res_state_city21,Teupah Barat
state_city.res_state_kecamatan268,res_state_kecamatan268,state_city.res_state_city21,Teupah Selatan
state_city.res_state_kecamatan269,res_state_kecamatan269,state_city.res_state_city21,Teupah Tengah
state_city.res_state_kecamatan270,res_state_kecamatan270,state_city.res_state_city22,Longkib
state_city.res_state_kecamatan271,res_state_kecamatan271,state_city.res_state_city22,Penanggalan
state_city.res_state_kecamatan272,res_state_kecamatan272,state_city.res_state_city22,Rundeng
state_city.res_state_kecamatan273,res_state_kecamatan273,state_city.res_state_city22,Simpang Kiri
state_city.res_state_kecamatan274,res_state_kecamatan274,state_city.res_state_city22,Sultan Daulat
state_city.res_state_kecamatan275,res_state_kecamatan275,state_city.res_state_city23,Ubud
state_city.res_state_kecamatan276,res_state_kecamatan276,state_city.res_state_city24,Tembuku
state_city.res_state_kecamatan277,res_state_kecamatan277,state_city.res_state_city25,Tejakula
state_city.res_state_kecamatan278,res_state_kecamatan278,state_city.res_state_city23,Tegallalang
state_city.res_state_kecamatan279,res_state_kecamatan279,state_city.res_state_city23,Tampak Siring
state_city.res_state_kecamatan280,res_state_kecamatan280,state_city.res_state_city26,Tabanan
state_city.res_state_kecamatan281,res_state_kecamatan281,state_city.res_state_city24,Susut
state_city.res_state_kecamatan282,res_state_kecamatan282,state_city.res_state_city23,Sukawati
state_city.res_state_kecamatan283,res_state_kecamatan283,state_city.res_state_city25,Sukasada
state_city.res_state_kecamatan284,res_state_kecamatan284,state_city.res_state_city27,Sidemen
state_city.res_state_kecamatan285,res_state_kecamatan285,state_city.res_state_city25,Seririt
state_city.res_state_kecamatan286,res_state_kecamatan286,state_city.res_state_city26,Selemadeg
state_city.res_state_kecamatan287,res_state_kecamatan287,state_city.res_state_city27,Selat
